time , queue density , dynamic density
3966,0.410691,0.00645312
3971,0.411625,0.0116469
3976,0.411791,0.00797813
3981,0.409825,0.0109812
3986,0.406781,0.0118125
3991,0.411934,0.00592813
3996,0.410075,0.00928437
4001,0.411316,0.00593438
4006,0.410662,0.00467187
4011,0.4103,0.003525
4016,0.410475,0.00487188
4021,0.408581,0.0134687
4026,0.4102,0.0152219
4031,0.410472,0.00972813
4036,0.410684,0.0061125
4041,0.4108,0.00578437
4046,0.408775,0.00908438
4051,0.409169,0.00432188
4056,0.410294,0.0027125
4061,0.409606,0.00425
4066,0.409381,0.00530625
4071,0.406938,0.0215125
4076,0.407416,0.0137094
4081,0.408166,0.0061125
4086,0.407684,0.00488437
4091,0.406731,0.00507187
4096,0.401263,0.01415
4101,0.402706,0.0133906
4106,0.404281,0.014525
4111,0.404509,0.0141719
4116,0.404147,0.0156469
4121,0.405478,0.0229594
4126,0.406575,0.0143938
4131,0.406091,0.0260312
4136,0.402813,0.0572937
4141,0.401953,0.0734031
4146,0.401462,0.0952781
4151,0.406853,0.0997625
4156,0.409319,0.0993813
4161,0.411003,0.102175
4166,0.412094,0.115944
4171,0.416469,0.136172
4176,0.426925,0.152863
4181,0.434628,0.16885
4186,0.436541,0.171775
4191,0.435434,0.182303
4196,0.425584,0.192056
4201,0.441984,0.2014
4206,0.450056,0.237172
4211,0.450341,0.297775
4216,0.450328,0.333213
4221,0.444284,0.35305
4226,0.435869,0.359709
4231,0.428106,0.339603
4236,0.416947,0.336875
4241,0.391828,0.370578
4246,0.363972,0.372169
4251,0.341406,0.368269
4256,0.346359,0.406584
4261,0.352041,0.405009
4266,0.355162,0.385422
4271,0.361734,0.392462
4276,0.365494,0.350972
4281,0.373175,0.349409
4286,0.38735,0.367366
4291,0.398756,0.3363
4296,0.393566,0.35455
4301,0.396763,0.357606
4306,0.392037,0.355003
4311,0.390591,0.352928
4316,0.401031,0.384263
4321,0.395756,0.406675
4326,0.390853,0.382597
4331,0.380362,0.394166
4336,0.372116,0.370841
4341,0.363559,0.365316
4346,0.356347,0.385937
4351,0.366122,0.373206
4356,0.369103,0.370475
4361,0.373287,0.370822
4366,0.376284,0.356431
4371,0.372444,0.351694
4376,0.383072,0.363956
4381,0.378722,0.360513
4386,0.372831,0.357266
4391,0.344522,0.350431
4396,0.322025,0.336441
4401,0.301084,0.313962
4406,0.284266,0.310809
4411,0.274594,0.304228
4416,0.266716,0.282034
4421,0.264497,0.276863
4426,0.262894,0.270619
4431,0.253909,0.283972
4436,0.256775,0.304847
4441,0.268103,0.3078
4446,0.275066,0.329631
4451,0.2956,0.338662
4456,0.286259,0.333347
4461,0.275478,0.334369
4466,0.247012,0.344822
4471,0.243072,0.339344
4476,0.247741,0.322613
4481,0.228437,0.320306
4486,0.219606,0.292337
4491,0.223769,0.291719
4496,0.228778,0.271781
4501,0.251934,0.258616
4506,0.287281,0.264491
4511,0.306337,0.283334
4516,0.3145,0.286356
4521,0.298266,0.277491
4526,0.304381,0.278975
4531,0.317178,0.284528
4536,0.295947,0.274203
4541,0.276853,0.264984
4546,0.264578,0.257581
4551,0.25095,0.254791
4556,0.238853,0.260822
4561,0.235928,0.255678
4566,0.238519,0.252894
4571,0.243572,0.259547
4576,0.241194,0.253025
4581,0.229672,0.241444
4586,0.232828,0.246806
4591,0.235544,0.225909
4596,0.234588,0.229316
4601,0.227209,0.223912
4606,0.219078,0.21405
4611,0.212884,0.207878
4616,0.199844,0.192903
4621,0.188866,0.181688
4626,0.179691,0.173006
4631,0.182609,0.188244
4636,0.178737,0.186087
4641,0.1809,0.178744
4646,0.188794,0.192294
4651,0.198181,0.205472
4656,0.198687,0.208816
4661,0.187925,0.206603
4666,0.177537,0.193116
4671,0.159784,0.180284
4676,0.139428,0.170563
4681,0.12775,0.158219
4686,0.140666,0.166131
4691,0.160831,0.190806
4696,0.155572,0.181634
4701,0.149491,0.176512
4706,0.154278,0.184716
4711,0.163434,0.191222
4716,0.182181,0.206434
